method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.25,20260701,100,0.6000000238418579,0.705572811230526,0.6610482988944414,0.6602326768510476,0.4927965217865255,0.678445627407152,0.642972019364897,0.6481741933392721,0.4975001013309267
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.25,20260702,100,0.7250000238418579,0.6387929258513858,0.5945462650737252,0.5932010697287735,0.42166727381176367,0.6112266021786467,0.5762082546976286,0.5753143318147049,0.4236707449526431
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.25,20260702,100,0.6000000238418579,0.6667548151654977,0.6567059359324777,0.6500318612156245,0.4815164466036715,0.7007558809625822,0.6061554662071607,0.6293317880919801,0.4755403744951254
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.25,20260702,100,0.6000000238418579,0.7016552494482717,0.6720471038628757,0.6705923904588513,0.5044294809552877,0.6876719298396903,0.6543406909001395,0.6629688691685994,0.5111041932644014
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.25,20260703,100,0.675000011920929,0.6409830861545166,0.5835398172783733,0.5848923654161449,0.4133200550417113,0.5915588112286219,0.5783744974152786,0.5701336938769707,0.41666593746062147
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.25,20260703,100,0.44999998807907104,0.668404844201549,0.6560085487036842,0.6578473950793435,0.4901435147296334,0.6681390904539268,0.6478679467191817,0.6324117234289554,0.47693073343495096
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.25,20260703,100,0.574999988079071,0.705556984159638,0.6677332879681742,0.6677837624939107,0.501257786606777,0.6748884404002877,0.66082711085583,0.6551605739664208,0.5027085333558938
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.5,20260701,200,0.625,0.725831070644663,0.702693870772684,0.701818695478315,0.5406168560845976,0.7218554247870896,0.6828642542600039,0.6971807194546542,0.5477795191520031
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.5,20260701,200,0.75,0.7655047812796486,0.768211030052931,0.7627962392112992,0.6165485940044564,0.8147213011849012,0.717093350838325,0.7431722758130733,0.6052564199152632
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.5,20260701,200,0.6499999761581421,0.7562950816897631,0.7232784261884468,0.7247032245331586,0.5682624142665696,0.7421456400024081,0.7080618692048904,0.7184310563914846,0.5758121201791241
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.5,20260702,200,0.625,0.7284112174923847,0.6970364157171518,0.6961286292563683,0.5338936377285038,0.7158710408384167,0.6774459123109324,0.6896873724850738,0.5401201177172797
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.5,20260702,200,0.75,0.7623141175184318,0.7690372965751109,0.7637440699832675,0.6177879931163852,0.8134937196454683,0.7197286726293044,0.7417637168215981,0.6029459704394142
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.5,20260702,200,0.6499999761581421,0.7542501123040222,0.7237520903933622,0.7253578501460263,0.5690678361994581,0.7435667269408255,0.7080194743032193,0.7174782628459844,0.5751081896718495
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.5,20260703,200,0.6499999761581421,0.727298645013385,0.7007316594597547,0.6981605070583036,0.5362876997076713,0.7304389918859037,0.6686140969885944,0.695078396779674,0.5453669233265708
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.5,20260703,200,0.75,0.7618633979353927,0.7699655832972867,0.7641151116393211,0.6182736910497144,0.8160921861745596,0.7183624627335139,0.744099141395957,0.6064833158331574
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.5,20260703,200,0.675000011920929,0.7550558115450917,0.7263463761513747,0.7273287980319678,0.5714978047018285,0.753244317865504,0.7031372227236673,0.7203378390616418,0.5786978060674136
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.75,20260701,300,0.625,0.7387865929925111,0.7082952669235003,0.7047696502756352,0.5441268809255556,0.745320682324882,0.6684034900577118,0.7064916082834861,0.5589042784924136
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.75,20260701,300,0.75,0.7729407290243059,0.7790588527238839,0.7713545984340265,0.6278089654272049,0.8261033884461436,0.723411558764804,0.7509055515040524,0.6143787987130529
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.75,20260701,300,0.6000000238418579,0.7615055386399127,0.7276109207556656,0.728438296451233,0.5728690117186247,0.7495792969230435,0.7084570990946637,0.7232422685046394,0.5822088128289983
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.75,20260702,300,0.625,0.741059893656199,0.7067135422983208,0.7027733179958583,0.5417505881933552,0.7450126693976598,0.6650666010229479,0.7058037532790429,0.5581831806040204
