pattern,ratio,seed,area_bin,method,mean_sample_dice,delta_vs_sparse_unet,num_samples
missing_block,0.75,20260702,medium,sparse_unet,0.6075714644875968,,130
missing_block,0.75,20260702,medium,world_curve_unet,0.603121673915905,-0.004449790571691814,130
missing_block,0.75,20260702,medium,world_unet,0.5879404110634995,-0.019631053424097322,130
missing_block,0.75,20260702,small,sparse_unet,0.4763742605337897,,140
missing_block,0.75,20260702,small,world_curve_unet,0.6176649128851813,0.14129065235139165,140
missing_block,0.75,20260702,small,world_unet,0.5719260880942567,0.09555182756046704,140
missing_block,0.75,20260703,large,sparse_unet,0.5918239756886385,,130
missing_block,0.75,20260703,large,world_curve_unet,0.6095617688130722,0.017737793124433687,130
missing_block,0.75,20260703,large,world_unet,0.6217927351280678,0.029968759439429227,130
missing_block,0.75,20260703,medium,sparse_unet,0.5921746078422098,,130
missing_block,0.75,20260703,medium,world_curve_unet,0.6147844251594594,0.022609817317249647,130
missing_block,0.75,20260703,medium,world_unet,0.5983013869473987,0.006126779105188884,130
missing_block,0.75,20260703,small,sparse_unet,0.4903203648995868,,140
missing_block,0.75,20260703,small,world_curve_unet,0.6460885335800647,0.15576816868047788,140
missing_block,0.75,20260703,small,world_unet,0.5695621511442758,0.07924178624468897,140
missing_block,0.9,20260701,large,sparse_unet,0.6656263884612805,,130
missing_block,0.9,20260701,large,world_curve_unet,0.7142524475454722,0.04862605908419171,130
missing_block,0.9,20260701,large,world_unet,0.7548624414064525,0.089236052945172,130
missing_block,0.9,20260701,medium,sparse_unet,0.6844578266465611,,130
missing_block,0.9,20260701,medium,world_curve_unet,0.7087451801336256,0.024287353487064567,130
missing_block,0.9,20260701,medium,world_unet,0.6982735688837655,0.013815742237204387,130
missing_block,0.9,20260701,small,sparse_unet,0.6289372575589238,,140
missing_block,0.9,20260701,small,world_curve_unet,0.7161354366274917,0.08719817906856786,140
missing_block,0.9,20260701,small,world_unet,0.6878602824527323,0.05892302489380852,140
missing_block,0.9,20260702,large,sparse_unet,0.6620749060975704,,130
missing_block,0.9,20260702,large,world_curve_unet,0.6929172849283253,0.030842378830754913,130
missing_block,0.9,20260702,large,world_unet,0.7409464131760806,0.0788715070785102,130
missing_block,0.9,20260702,medium,sparse_unet,0.6843410813723807,,130
missing_block,0.9,20260702,medium,world_curve_unet,0.7126691937517432,0.028328112379362502,130
missing_block,0.9,20260702,medium,world_unet,0.7027527637935264,0.01841168242114566,130
missing_block,0.9,20260702,small,sparse_unet,0.620743773461683,,140
missing_block,0.9,20260702,small,world_curve_unet,0.7254068537242189,0.1046630802625359,140
missing_block,0.9,20260702,small,world_unet,0.6883813309993798,0.06763755753769685,140
missing_block,0.9,20260703,large,sparse_unet,0.6654561109924778,,130
