method,baseline,pattern,ratio,mean_aggregate_dice_delta,min_aggregate_dice_delta,max_aggregate_dice_delta,mean_sample_dice_delta,sample_bootstrap_ci_low,sample_bootstrap_ci_high,num_seeds,num_sample_seed_pairs
world_unet,sparse_unet,local_block,0.75,0.04812374651929271,0.04224942406351673,0.051088248396132796,0.03633548446190943,0.0295124225601489,0.04331325527962944,3,1200
world_curve_unet,sparse_unet,local_block,0.9,0.04719523024816589,0.046784073690407046,0.047462651105681486,0.04868935219754107,0.043564757279577176,0.05375606344762087,3,1200
world_unet,sparse_unet,local_block,0.9,0.060663846844900705,0.05980968269552711,0.06125716789015512,0.05244469393594312,0.046505537274717824,0.05892088507402086,3,1200
world_curve_unet,sparse_unet,missing_block,0.1,-0.03855035331546575,-0.04079307087724299,-0.035885483505186666,-0.051714891908262416,-0.05984370131158992,-0.04346235835916403,3,1200
world_unet,sparse_unet,missing_block,0.1,0.02057475574008122,0.018724246546959977,0.021764130336092535,0.0030545342833752783,-0.007882847451729206,0.013247368914446563,3,1200
world_curve_unet,sparse_unet,missing_block,0.25,-0.049725086442154544,-0.054896837525243325,-0.04330526852632466,-0.07622459981345353,-0.08423987230697197,-0.06751195272874871,3,1200
world_unet,sparse_unet,missing_block,0.25,-0.060718009970219367,-0.07169391722567969,-0.05088892665916217,-0.08376976750897737,-0.09239783734426799,-0.07413246508717967,3,1200
world_curve_unet,sparse_unet,missing_block,0.5,0.02435879034475306,0.019885119943235774,0.0269133330490684,0.0048985770429221176,-0.004227248385407535,0.013846305206674273,3,1200
world_unet,sparse_unet,missing_block,0.5,-0.0010959904860713225,-0.0073323398067515755,0.004539299229096794,-0.02000404169322113,-0.030047566809580588,-0.01044397528674464,3,1200
world_curve_unet,sparse_unet,missing_block,0.75,0.06040365207775111,0.0549922368716258,0.06463774445257464,0.06207578208245423,0.051501465538866587,0.0726087275438558,3,1200
world_unet,sparse_unet,missing_block,0.75,0.04346353180045015,0.04073126154282225,0.0468555645626102,0.039448174073279635,0.028439317815529788,0.0497925604634441,3,1200
world_curve_unet,sparse_unet,missing_block,0.9,0.04739497621016797,0.04437063008633946,0.049316277525881635,0.05688845034806835,0.05040095801139269,0.06370606551041648,3,1200
world_unet,sparse_unet,missing_block,0.9,0.057280340313791846,0.055527313483653584,0.05959018574549002,0.05537621868415756,0.04797612326894553,0.06262598768345545,3,1200
